File Name,Name,ID,Version,Mod Loader,URL,Authors,Logo Path,Display Name,Abbr,Mcmod,Subname,Curseforge,Status,File Path,File SHA-1
productivebees-1.20.1-12.5.3.jar.disabled,Productive Bees,productivebees,1.20.1-12.5.3,FORGE,,LobsterJonn,,资源蜜蜂 (Productive Bees),,2502,Productive Bees,productivebees,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/productivebees-1.20.1-12.5.3.jar.disabled,796158e34ccc13c730892ac489d2d8bf04b8f0a2
productivetrees-1.20.1-0.2.6.jar.disabled,Productive Trees,productivetrees,1.20.1-0.2.6,FORGE,,LobsterJonn,,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/productivetrees-1.20.1-0.2.6.jar.disabled,8e4553fe59b686239eddd25e1f77b9596ca1b1d9
pylons-1.20.1-4.2.1.jar.disabled,Pylons,pylons,4.2.1,FORGE,https://www.curseforge.com/minecraft/mc-mods/pylons,,,Pylons,,5365,,pylons,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/pylons-1.20.1-4.2.1.jar.disabled,5ae2fd1e7b88bc38d81a6b180701153ada5a6aa1
Quark-4.0-458.jar.disabled,Quark,quark,4.0-458,FORGE,,"Vazkii, WireSegal, MCVinnyq, Sully",,夸克 (Quark),,527,Quark,quark,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/Quark-4.0-458.jar.disabled,cb38b4735b709f16ba6440162a4b331623b63597
railcraft-reborn-1.20.1-1.1.6.jar.disabled,Railcraft Reborn,railcraft,1.1.6,FORGE,,"Sm0keySa1m0n, Edivad99",,[RC] 铁路 (Railcraft),RC,6,Railcraft,railcraft,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/railcraft-reborn-1.20.1-1.1.6.jar.disabled,8b97827841d14b083d7daf9b30a98b5799ba4ca0
rangedpumps-1.1.0.jar.disabled,Ranged Pumps,rangedpumps,1.1.0,FORGE,https://refinedmods.com/ranged-pumps,Refined Mods,,范围泵 (Ranged Pumps),,1391,Ranged Pumps,ranged-pumps,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rangedpumps-1.1.0.jar.disabled,3e297ddd6fbcb86eef7efbb62026732d982fa8bd
rebornstorage-1.20.1-5.0.7.jar.disabled,RebornStorage,rebornstorage,5.0.7,FORGE,,,,存储重置 (Reborn Storage),,792,Reborn Storage,rebornstorage,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rebornstorage-1.20.1-5.0.7.jar.disabled,51d8387240b7c2ebca45937126cdaa0c3d682e17
rechiseled-1.1.6-forge-mc1.20.jar.disabled,Rechiseled,rechiseled,1.1.6,FORGE,https://www.curseforge.com/minecraft/mc-mods/rechiseled,SuperMartijn642,,Re-chiseled,,7032,,rechiseled,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rechiseled-1.1.6-forge-mc1.20.jar.disabled,cacec8ace7987d33e76873bf574704aea7564a4e
rechiseledcreate-1.0.2-forge-mc1.20.jar.disabled,Rechiseled: Create,rechiseledcreate,1.0.2,FORGE,https://www.curseforge.com/minecraft/mc-mods/rechiseled,SuperMartijn642,,Rechiseled: Create,,11297,,rechiseled-create,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/rechiseledcreate-1.0.2-forge-mc1.20.jar.disabled,ce33c06e2d087470c3ddaf12ae0f676da7872699
redstone_arsenal-1.20.1-8.0.1.24.jar.disabled,Redstone Arsenal,redstone_arsenal,8.0.1,FORGE,https://teamcofh.com/,"King Lemming, Hekera",,,,,,,Disabled,/home/zkitefly/Desktop/MC/.minecraft/versions/All the Mods 9/mods/redstone_arsenal-1.20.1-8.0.1.24.jar.disabled,8d008954747ad6633b85f3ccfa0523807a400e8b
